Disease,Symptom,HealthTips
Hyperthyroidism,"[""weight loss"", ""dizziness"", ""nausea"", ""blurred vision""]",Engage in regular physical activity appropriate to your condition.
Tuberculosis,"[""confusion"", ""loss of smell"", ""sleeplessness""]",Engage in regular physical activity appropriate to your condition. Ensure regular check-ups with your healthcare provider.
Asthma,"[""loss of smell"", ""fatigue"", ""muscle twitch"", ""chill""]",Practice stress-reducing techniques like meditation.
Pneumocystis carinii pneumonia,"[""palpitations"", ""blurred vision"", ""shortness of breath"", ""headache"", ""rash"", ""chest pain"", ""sore throat""]",Follow prescribed medication schedules carefully. Ensure regular check-ups with your healthcare provider.
Gastroenteritis,"[""loss of taste"", ""agitation"", ""nausea"", ""headache""]",Maintain hygiene to prevent infections. Quit smoking and avoid alcohol consumption.
Diabetes mellitus,"[""sleeplessness"", ""constipation"", ""palpitations"", ""blurred vision"", ""vomiting""]",Maintain hygiene to prevent infections. Practice stress-reducing techniques like meditation.
Hypothyroidism,"[""weight loss"", ""swelling"", ""night sweats"", ""blurred vision"", ""agitation"", ""nausea"", ""palpitations"", ""muscle twitch""]",Maintain a balanced diet and stay hydrated.
Gastroenteritis,"[""chill"", ""nausea"", ""fatigue"", ""muscle twitch"", ""palpitations"", ""dizziness""]",Maintain hygiene to prevent infections.
Anemia,"[""agitation"", ""confusion"", ""chill"", ""muscle twitch"", ""night sweats"", ""vomiting"", ""nausea"", ""headache""]",Engage in regular physical activity appropriate to your condition.
Asthma,"[""loss of taste"", ""nausea"", ""dizziness""]",Practice stress-reducing techniques like meditation.
Depression,"[""swelling"", ""headache"", ""fatigue""]",Follow prescribed medication schedules carefully. Engage in regular physical activity appropriate to your condition.
Hypothyroidism,"[""sleeplessness"", ""headache"", ""joint pain""]",Follow prescribed medication schedules carefully.
Gastroenteritis,"[""swelling"", ""seizure"", ""dizziness"", ""nausea"", ""agitation"", ""muscle twitch"", ""chill""]",Quit smoking and avoid alcohol consumption.
Diabetes mellitus,"[""shortness of breath"", ""chill"", ""constipation"", ""nausea""]",Follow prescribed medication schedules carefully.
Diabetes mellitus,"[""rash"", ""seizure"", ""constipation"", ""cough""]",Stay informed and get vaccinated when available.
Parkinson's disease,"[""rash"", ""muscle twitch"", ""dizziness"", ""loss of smell""]",Avoid known triggers and allergens. Engage in regular physical activity appropriate to your condition.
Adhesion,"[""sore throat"", ""chill"", ""fever"", ""muscle twitch"", ""dizziness"", ""nausea"", ""tremor"", ""headache""]",Maintain hygiene to prevent infections.
Depression,"[""palpitations"", ""seizure"", ""sore throat"", ""nausea"", ""dizziness""]",Practice stress-reducing techniques like meditation. Stay informed and get vaccinated when available.
Depression,"[""muscle twitch"", ""constipation"", ""vomiting"", ""blurred vision"", ""fever""]",Avoid known triggers and allergens.
Parkinson's disease,"[""chest pain"", ""fatigue"", ""rash"", ""dizziness"", ""tremor"", ""chill""]",Maintain hygiene to prevent infections.
Asthma,"[""fatigue"", ""vomiting"", ""chest pain"", ""headache"", ""loss of smell"", ""blurred vision""]",Maintain a balanced diet and stay hydrated.
Parkinson's disease,"[""dizziness"", ""fatigue"", ""nausea"", ""blurred vision""]",Get adequate rest and sleep. Avoid known triggers and allergens.
Hypothyroidism,"[""headache"", ""agitation"", ""chill"", ""diarrhea"", ""palpitations"", ""muscle twitch"", ""chill""]",Stay informed and get vaccinated when available.
Asthma,"[""agitation"", ""constipation"", ""chest pain"", ""swelling"", ""shortness of breath"", ""sleeplessness""]",Quit smoking and avoid alcohol consumption.
Depression,"[""dizziness"", ""shortness of breath"", ""nausea"", ""weight loss""]",Practice stress-reducing techniques like meditation.
Pneumocystis carinii pneumonia,"[""sore throat"", ""muscle twitch"", ""diarrhea"", ""fatigue""]",Get adequate rest and sleep.
Parkinson's disease,"[""tremor"", ""headache"", ""nausea"", ""diarrhea"", ""blurred vision""]",Ensure regular check-ups with your healthcare provider. Maintain a balanced diet and stay hydrated.
Asthma,"[""headache"", ""loss of taste"", ""fever"", ""chest pain""]",Quit smoking and avoid alcohol consumption.
Tuberculosis,"[""chill"", ""diarrhea"", ""dizziness"", ""loss of taste"", ""headache"", ""rash"", ""weight loss"", ""confusion""]",Avoid known triggers and allergens.
Hypertension,"[""shortness of breath"", ""chill"", ""night sweats"", ""rash"", ""nausea"", ""loss of taste""]",Maintain a balanced diet and stay hydrated. Follow prescribed medication schedules carefully.
Stroke,"[""blurred vision"", ""loss of smell"", ""confusion"", ""fatigue""]",Ensure regular check-ups with your healthcare provider.
Anemia,"[""chill"", ""swelling"", ""chill""]",Ensure regular check-ups with your healthcare provider.
Alzheimer's disease,"[""shortness of breath"", ""weight loss"", ""rash"", ""tremor"", ""sore throat"", ""swelling""]",Quit smoking and avoid alcohol consumption.
Adenocarcinoma,"[""diarrhea"", ""night sweats"", ""weight loss"", ""palpitations"", ""tremor"", ""fatigue""]",Maintain hygiene to prevent infections.
Depression,"[""confusion"", ""fever"", ""palpitations"", ""cough"", ""muscle twitch"", ""sleeplessness"", ""swelling"", ""shortness of breath""]",Follow prescribed medication schedules carefully.
Gastroenteritis,"[""diarrhea"", ""loss of smell"", ""palpitations"", ""sore throat""]",Get adequate rest and sleep.
Gastroenteritis,"[""loss of smell"", ""rash"", ""agitation"", ""sleeplessness"", ""fever"", ""joint pain"", ""headache"", ""diarrhea""]",Maintain hygiene to prevent infections.
Adhesion,"[""loss of smell"", ""constipation"", ""blurred vision"", ""shortness of breath"", ""nausea"", ""dizziness"", ""fever""]",Practice stress-reducing techniques like meditation. Maintain hygiene to prevent infections.
Migraine,"[""agitation"", ""weight loss"", ""shortness of breath"", ""swelling"", ""vomiting"", ""nausea""]",Quit smoking and avoid alcohol consumption.
Hypothyroidism,"[""muscle twitch"", ""joint pain"", ""headache"", ""blurred vision"", ""shortness of breath"", ""chest pain""]",Engage in regular physical activity appropriate to your condition. Practice stress-reducing techniques like meditation.
Hypertension,"[""swelling"", ""constipation"", ""chest pain"", ""sleeplessness"", ""shortness of breath"", ""headache"", ""fever"", ""chill""]",Get adequate rest and sleep. Maintain hygiene to prevent infections.
Rheumatoid arthritis,"[""joint pain"", ""nausea"", ""night sweats""]",Engage in regular physical activity appropriate to your condition.
Hyperthyroidism,"[""swelling"", ""shortness of breath"", ""vomiting"", ""fatigue"", ""dizziness""]",Ensure regular check-ups with your healthcare provider.
COVID-19,"[""sore throat"", ""diarrhea"", ""palpitations"", ""headache"", ""blurred vision""]",Maintain a balanced diet and stay hydrated.
Anemia,"[""sore throat"", ""sleeplessness"", ""chest pain"", ""chill"", ""cough"", ""swelling"", ""fatigue"", ""rash""]",Practice stress-reducing techniques like meditation. Follow prescribed medication schedules carefully.
Gastroenteritis,"[""confusion"", ""chill"", ""loss of taste"", ""dizziness"", ""chest pain"", ""agitation"", ""blurred vision""]",Engage in regular physical activity appropriate to your condition.
Hypertension,"[""swelling"", ""confusion"", ""vomiting"", ""night sweats""]",Avoid known triggers and allergens.
Diabetes mellitus,"[""joint pain"", ""chest pain"", ""shortness of breath"", ""diarrhea""]",Quit smoking and avoid alcohol consumption.
COVID-19,"[""vomiting"", ""shortness of breath"", ""fever"", ""chest pain"", ""swelling""]",Ensure regular check-ups with your healthcare provider.
Migraine,"[""fatigue"", ""weight loss"", ""sore throat"", ""fever""]",Quit smoking and avoid alcohol consumption. Stay informed and get vaccinated when available.
Epilepsy,"[""shortness of breath"", ""swelling"", ""constipation"", ""nausea""]",Ensure regular check-ups with your healthcare provider.
Asthma,"[""joint pain"", ""vomiting"", ""chest pain""]",Quit smoking and avoid alcohol consumption. Maintain a balanced diet and stay hydrated.
Epilepsy,"[""chill"", ""joint pain"", ""loss of smell""]",Avoid known triggers and allergens.
Stroke,"[""joint pain"", ""dizziness"", ""headache""]",Quit smoking and avoid alcohol consumption. Engage in regular physical activity appropriate to your condition.
Migraine,"[""chill"", ""diarrhea"", ""loss of taste""]",Engage in regular physical activity appropriate to your condition. Quit smoking and avoid alcohol consumption.
COVID-19,"[""weight loss"", ""tremor"", ""loss of taste"", ""chill"", ""constipation"", ""night sweats"", ""fatigue"", ""muscle twitch""]",Maintain hygiene to prevent infections. Practice stress-reducing techniques like meditation.
Epilepsy,"[""vomiting"", ""loss of smell"", ""swelling"", ""chill"", ""rash""]",Practice stress-reducing techniques like meditation.
Hypertension,"[""chill"", ""loss of taste"", ""seizure"", ""muscle twitch"", ""dizziness"", ""joint pain"", ""swelling""]",Ensure regular check-ups with your healthcare provider. Get adequate rest and sleep.
Alzheimer's disease,"[""confusion"", ""weight loss"", ""diarrhea""]",Get adequate rest and sleep.
Tuberculosis,"[""rash"", ""shortness of breath"", ""dizziness"", ""joint pain""]",Maintain a balanced diet and stay hydrated. Stay informed and get vaccinated when available.
Hypertension,"[""sore throat"", ""agitation"", ""chill"", ""sleeplessness"", ""dizziness"", ""nausea"", ""swelling"", ""tremor""]",Avoid known triggers and allergens. Engage in regular physical activity appropriate to your condition.
Pneumocystis carinii pneumonia,"[""rash"", ""nausea"", ""headache""]",Avoid known triggers and allergens.
Anemia,"[""weight loss"", ""fever"", ""loss of taste"", ""vomiting"", ""rash"", ""shortness of breath""]",Practice stress-reducing techniques like meditation.
Epilepsy,"[""palpitations"", ""seizure"", ""chill"", ""agitation"", ""vomiting"", ""nausea"", ""joint pain""]",Follow prescribed medication schedules carefully.
Hypertension,"[""sore throat"", ""muscle twitch"", ""fever"", ""palpitations"", ""chill"", ""weight loss"", ""tremor"", ""fatigue""]",Avoid known triggers and allergens. Follow prescribed medication schedules carefully.
Anemia,"[""constipation"", ""palpitations"", ""vomiting"", ""shortness of breath""]",Avoid known triggers and allergens.
Tuberculosis,"[""agitation"", ""palpitations"", ""chill"", ""cough"", ""swelling""]",Ensure regular check-ups with your healthcare provider.
Hyperthyroidism,"[""loss of smell"", ""seizure"", ""sleeplessness"", ""agitation""]",Ensure regular check-ups with your healthcare provider. Maintain a balanced diet and stay hydrated.
Parkinson's disease,"[""tremor"", ""rash"", ""fatigue"", ""swelling""]",Avoid known triggers and allergens.
Coronary artery disease,"[""rash"", ""sleeplessness"", ""shortness of breath"", ""fever"", ""tremor""]",Maintain a balanced diet and stay hydrated.
Gastroenteritis,"[""loss of taste"", ""sleeplessness"", ""seizure"", ""dizziness"", ""night sweats"", ""vomiting"", ""diarrhea""]",Engage in regular physical activity appropriate to your condition.
Hypertension,"[""shortness of breath"", ""sleeplessness"", ""chest pain""]",Ensure regular check-ups with your healthcare provider.
Hypothyroidism,"[""loss of smell"", ""joint pain"", ""weight loss"", ""dizziness"", ""chest pain"", ""night sweats"", ""swelling"", ""tremor""]",Get adequate rest and sleep.
Migraine,"[""diarrhea"", ""chill"", ""tremor"", ""headache"", ""vomiting"", ""confusion"", ""agitation"", ""fever""]",Quit smoking and avoid alcohol consumption. Practice stress-reducing techniques like meditation.
Depression,"[""chill"", ""vomiting"", ""blurred vision"", ""sore throat""]",Practice stress-reducing techniques like meditation. Avoid known triggers and allergens.
Diabetes mellitus,"[""joint pain"", ""fatigue"", ""loss of smell""]",Follow prescribed medication schedules carefully.
Anemia,"[""sore throat"", ""shortness of breath"", ""chest pain"", ""muscle twitch"", ""chill""]",Practice stress-reducing techniques like meditation.
Diabetes mellitus,"[""sleeplessness"", ""blurred vision"", ""seizure"", ""joint pain"", ""diarrhea"", ""muscle twitch"", ""loss of smell""]",Stay informed and get vaccinated when available. Get adequate rest and sleep.
COVID-19,"[""dizziness"", ""sleeplessness"", ""tremor"", ""seizure"", ""chest pain"", ""shortness of breath"", ""palpitations"", ""headache""]",Practice stress-reducing techniques like meditation.
Coronary artery disease,"[""constipation"", ""loss of taste"", ""cough"", ""muscle twitch"", ""chest pain""]",Avoid known triggers and allergens. Follow prescribed medication schedules carefully.
Epilepsy,"[""cough"", ""loss of smell"", ""fatigue"", ""swelling"", ""nausea"", ""seizure"", ""loss of taste""]",Maintain hygiene to prevent infections. Follow prescribed medication schedules carefully.
Gastroenteritis,"[""chill"", ""diarrhea"", ""fatigue"", ""tremor""]",Practice stress-reducing techniques like meditation.
COVID-19,"[""shortness of breath"", ""swelling"", ""chill"", ""joint pain"", ""muscle twitch"", ""tremor"", ""vomiting"", ""sleeplessness""]",Practice stress-reducing techniques like meditation. Follow prescribed medication schedules carefully.
Parkinson's disease,"[""night sweats"", ""chest pain"", ""tremor"", ""vomiting"", ""rash"", ""joint pain"", ""headache"", ""dizziness""]",Maintain hygiene to prevent infections.
Pneumocystis carinii pneumonia,"[""loss of smell"", ""loss of taste"", ""chest pain"", ""sleeplessness"", ""shortness of breath""]",Maintain a balanced diet and stay hydrated.
Hyperthyroidism,"[""headache"", ""vomiting"", ""blurred vision"", ""weight loss"", ""constipation"", ""palpitations"", ""swelling""]",Maintain a balanced diet and stay hydrated. Get adequate rest and sleep.
Depression,"[""tremor"", ""dizziness"", ""fatigue"", ""vomiting""]",Maintain hygiene to prevent infections. Stay informed and get vaccinated when available.
